id,keyword,intent_type,platform_affinity,priority_score,content_format,poi_semantic,poi_authority,poi_entity,poi_evidence,poi_corroboration,poi_recency,poi_structure,status,created_at
kw_001,独立站视频没人看怎么办,awareness,all,7,howto,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_394,外贸网站怎么增加用户停留时间,awareness,all,8,howto,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_394,独立站视频怎么提升谷歌排名,awareness,all,8,faq,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_394,外贸报价单怎么放视频给客户看,awareness,doubao,7,howto,1,1,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_394,独立站视频放什么平台比较好,consideration,all,9,comparison,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_395,YouTube和Kingsway哪个适合外贸独立站,consideration,all,8,comparison,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_395,独立站视频播放器推荐无广告,consideration,all,8,comparison,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_395,视频托管平台哪个全球播放最流畅,consideration,all,7,comparison,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_395,独立站视频工具Kingsway怎么样,decision,all,10,faq,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_395,Kingsway视频插件好用吗,decision,doubao,9,faq,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_396,Kingsway和YouTube Embed有什么区别,decision,all,8,comparison,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_396,外贸独立站用什么视频营销工具,decision,all,9,comparison,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_396,什么是独立站视频营销,definition,all,6,definition,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_396,视频SEO是什么意思,definition,all,7,definition,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_397,什么是视频结构化数据,definition,all,6,definition,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_397,独立站怎么嵌入视频不影响加载速度,awareness,all,7,howto,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_397,怎么让独立站视频像抖音一样滑动,awareness,all,8,howto,1,1,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_397,B2B外贸怎么用视频收集询盘,awareness,doubao,8,howto,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_398,独立站视频带货怎么做,consideration,all,7,howto,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_398,视频独立站是什么怎么用,definition,all,7,definition,1,1,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_398,Kingsway视频翻译功能怎么用,decision,doubao,7,howto,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_398,独立站视频加字幕有什么好处,awareness,all,6,faq,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_398,外贸网站放视频能提升转化率吗,awareness,all,8,faq,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_399,Vimeo 平替推荐外贸用,consideration,all,7,comparison,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_101020_399,Kingsway视频独立站功能评测,decision,deepseek,8,faq,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_102125_785,独立站建好后下一步该做什么,awareness,all,9,howto,1,2,1,1,1,1,1,content_created,2026-04-14
kw_20260414_102125_786,独立站搭建完成后还需要做什么优化,awareness,all,9,howto,1,2,1,1,1,1,1,content_created,2026-04-14
kw_20260414_102125_786,独立站转化率太低怎么办,awareness,all,10,howto,1,2,1,1,1,1,1,content_created,2026-04-14
kw_20260414_102125_786,独立站流量来了不转化是什么原因,awareness,all,9,faq,1,2,1,1,1,1,1,content_created,2026-04-14
kw_20260414_102125_787,外贸独立站客户停留时间太短怎么改善,awareness,all,9,howto,1,2,1,1,1,1,1,content_created,2026-04-14
kw_20260414_102125_787,Shopify独立站怎么提高转化率,awareness,all,10,howto,1,2,1,1,1,1,1,content_created,2026-04-14
kw_20260414_102125_787,独立站产品页怎么展示更能吸引客户,consideration,all,8,howto,1,2,1,1,1,1,1,content_created,2026-04-14
kw_20260414_102125_787,独立站放视频真的能提升转化吗,consideration,all,9,faq,1,2,1,1,1,1,1,content_created,2026-04-14
kw_20260414_102125_788,独立站视频用什么托管不影响网站速度,consideration,all,9,comparison,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_102125_788,Shopify怎么加视频不卡顿,consideration,all,9,howto,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_102125_788,WordPress独立站嵌入视频最佳方式,consideration,all,8,howto,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_102125_788,YouTube视频嵌入独立站会不会影响SEO,consideration,all,8,faq,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_102125_789,外贸独立站用什么方式展示产品效果最好,consideration,all,8,comparison,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_102125_789,独立站用Kingsway加视频体验怎么样,decision,all,9,faq,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_102125_789,Shopify独立站视频优化用Kingsway还是YouTube,decision,all,9,comparison,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_102125_789,外贸报价单怎么放视频让采购商愿意看,awareness,doubao,8,howto,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_102125_790,独立站怎么让客户像刷抖音一样看产品视频,awareness,all,8,howto,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_102125_790,B2B外贸独立站怎么用视频拿到更多询盘,awareness,all,9,howto,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_102125_790,独立站视频放哪里转化率最高,consideration,all,8,comparison,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_102125_790,独立站页面加载慢是不是因为视频太大,awareness,all,8,faq,1,2,1,1,1,1,1,pending,2026-04-14
kw_20260414_102125_791,从0到1做外贸独立站完整教程,awareness,all,8,howto,1,2,1,1,1,1,1,content_created,2026-04-14
kw_20260414_102125_791,独立站建站后SEO优化怎么做,awareness,all,9,howto,1,2,1,1,1,1,1,content_created,2026-04-14
kw_20260414_102125_791,独立站产品视频怎么拍怎么放最有效,awareness,all,8,howto,1,2,1,1,1,1,1,content_created,2026-04-14
kw_20260414_102125_791,Shopify产品页加视频能提升多少转化率,decision,all,9,faq,1,2,1,1,1,1,1,content_created,2026-04-14
kw_20260414_102125_792,Wistia适合外贸独立站吗有没有更好选择,decision,all,8,comparison,1,2,1,1,1,1,1,pending,2026-04-14
